Esther M. Conwell
Esther Orozco
Ethel Browne Harvey
Ethel Sargant
Ethel Shakespear
Etheldred Benett
Etta Zuber Falconer
Eugenia Del Pino
Eugenie Clark
Eva Bayer-Fluckiger
Eva Ekeblad
Eva Nogales
Evelyn Berezin
Evelyn Boyd Granville
Evelyn Fox Keller
Evelyn Hu
Éva Tardos
Evi Nemeth
F. Gwendolen Rees
FASEB Excellence in Science Award
Fan Chung
Farzana Aslam
Faustina Pignatelli
Flora Wambaugh Patterson
Florence Bascom
Florence Nightingale
Florence R. Sabin
Florence Wambugu
Florentina Mosora
Fotini Markopoulou-Kalamara
Frances A. Rosamond
Frances Ashcroft
Frances Cave-Browne-Cave
Frances E. Allen
Frances Hardcastle
Frances Hugle
Frances Kirwan
Frances Meehan Latterell
Frances Theodora Parsons
Frances Yao
Francine Berman
Françoise Barré-Sinoussi
Frederica Darema
Gabriele Rabel
Gail Williams
Garvan–Olin Medal
Geertruida de Haas-Lorentz
George and Elizabeth Peckham
Gerta Keller
Gertrud Theiler
Gertrude B. Elion
Gertrude Bell
Gertrude Blanch
Gertrude Caton–Thompson
Gertrude Mary Cox
Gertrude Neumark
Gertrude Scharff Goldhaber
Gertrude Simmons Burlingham
Gerty Cori
Gillian Bates
Gisela Richter
Gisèle Lamoureux
Gitte Moos Knudsen
Giuseppa Barbapiccola
Gladys Kalema-Zikusoka
Glenda Schroeder
Grace Chisholm Young
Grace Evelyn Pickford
Grace Frankland
Grace Hopper
Greta Stevenson
Grete Hermann
Halszka Osmólska
Hannah Monyer
Harriet Boyd-Hawes
Harriet Brooks
Harriet Mann Miller
Harriet Margaret Louisa Bolus
Hava Siegelmann
Hazel Alden Reason
Hazel Bishop
Heather Couper
Heather Reid
Hedwig Kohn
Hedy Lamarr
Heidi Jo Newberg
Helen Dean King
Helen Flanders Dunbar
Helen G. Grundman
Helen Gwynne-Vaughan
Helen M. Berman
Helen Megaw
Helen Murray Free
Helen Porter
Helen Quinn
Helen Ranney
Helen Sharman
Helen T. Edwards
Henrietta Swan Leavitt
Henriette Avram
Herrad of Landsberg
Herta Freitag
Hertha Marks Ayrton
Hertha Sponer
Hertha Wambacher
Hilda Geiringer
Hilda Phoebe Hudson
Hilde Mangold
Hildegard of Bingen
Hu Hesheng
Huguette Delavault
Hypatia
Hélène Langevin-Joliot
Ida Henrietta Hyde
Ida Noddack
Ileana Streinu
Inge Lehmann
Ingrid Daubechies
Iota Sigma Pi
Irene Crespin
Irene Fischer
Irene Manton
Irene Uchida
Irina Beletskaya
Iris M. Ovshinsky
Irma Wyman
Irmgard Flügge-Lotz
Irène Joliot-Curie
Isabel Bassett Wasson
Isabel Briggs Myers
Isabella Bird
Isobel Bennett
Jacqueline Felice de Almania
Jacquetta Hawkes
Jaime Levy
Jaime Teevan
Jan Anderson (scientist)
Janaki Ammal
Jane Brotherton Walker
Jane Colden
Jane Ellen Harrison
Jane Goodall
Jane Hillston
Jane Lubchenco
Jane Marcet
Jane S. Richardson
Jane Stafford
Janet Darbyshire
Janet G. Travell
Janet Kear
Janet L. Kolodner
Janet Rowley
Janet Thornton
Janet Vaughan
Janet Watson
Janice E. Clements
Jean Bartik
Jean Beggs
Jean Jenkins (ethnomusicologist)
Jean E. Sammet
Jeanne Dumée
Jeanne Ferrante
Jeanne Villepreux-Power
Jeanette Scissum
Jeannette Wing
Jeehiun Lee
Jennifer Tour Chayes
Jennifer Doudna
Jenny Preece
Jessica Meir
Jill Farrant
Jill Stein
Jill Tarter
Jing Li (chemist)
Joan A. Steitz
Joan Beauchamp Procter
Joan Birman
Joan Dingley
Joan Hinton
Joan Roughgarden
Joan Slonczewski
Joanna S. Fowler
Joanne Pransky
Joanne Simpson
Jocelyn Bell Burnell
Johanna Mestorf
Johanna Moore
Josephine Kablick
Joy Adamson
Joyce Currie Little
Joyce Jacobson Kaufman
Joyce K. Reynolds
Joyce Lambert
Jude Milhon
Judith Donath
Judith Estrin
Judith Goslin Hall
Judith Q. Longyear
Judith Resnik
Judy A. Holdener
Julia Anna Gardner
Julia Serano
Juliet Wege
June Almeida
Kaisa Sere
Kalpana Chawla
Kamal Ranadive
Kamala Sohonie
Karen Kavanagh
Karen Spärck Jones
Karen Vousden
Karen Wetterhahn
Karin Erdmann
Kate Craig-Wood
Kate Hutton
Kateryna Lohvynivna Yushchenko
Katharine Burr Blodgett
Katharine Fowler-Billings
Katharine Way
Katherine Esau
Katherine Freese
Katherine Johnson
Katherine St. John
Kathleen Antonelli
Kathleen Booth
Kathleen C. Taylor
Kathleen Haddon
Kathleen Kenyon
Kathleen Lonsdale
Kathleen Maisey Curtis
Kathleen Taylor (biologist)
Kathrin Bringmann
Kathryn Moler
Kathryn Uhrich
Katsuko Saruhashi
Kay Redfield Jamison
Kiki Sanford
Kirstine Meyer
Klara Dan von Neumann
Klara Kedem
Krystyna Kuperberg
Käte Fenchel
L'Oréal-UNESCO Awards for Women in Science
L'association femmes et mathématiques
Laura Bassi
Leah Jamieson
Lene Hau
Lenore Blum
Leona Woods
Lera Boroditsky
Leslie Barnett
Lila Kari
Lilian Gibbs
Lillian Dyck
Lily Young
Linda Avey
Linda B. Buck
Linda Keen
Lisa Hensley (microbiologist)
Lisa Kaltenegger
Lisa M. Diamond
Lisa Randall
Lisa Rossbacher
Lise Meitner
List of female Fellows of the Royal Society
List of female mathematicians
List of female scientists before the 21st century
|List of prizes, medals, and awards for women in science|
Liuba Shrira
Lois Haibt
Lori McCreary
Louise Dolan
Louise Giblin (chemist)
Louise Hammarström
Louise Hay (mathematician)
Louise Johnson
Louise Reiss
Louise du Pierry
|Low enrollment of women in Science, Technology, Engineering and Mathematics Education and Careers|
Lucia Galeazzi Galvani
Lucile Quarry Mann
Lucy Everest Boole
Lucy Jones
Lucy Weston Pickett
Lucy Wilson
Luisa Ottolini
Luise Meyer-Schützmeister
Lydia Kavraki
Lydia Maria Adams DeWitt
Lydia Rabinowitsch-Kempner
Lynn Conway
Lynn J. Rothschild
Lynn Margulis
Lynne Jolitz
Lanying Lin
M. Christine Zink
Mae Jemison
Maja Mataric
Manuela M. Veloso
Marcia McNutt
Marcia Neugebauer
Margaret Brimble
Margaret Bryan (philosopher)
Margaret Burbidge
|Margaret Cavendish, Duchess of Newcastle-upon-Tyne|
Margaret Clement
Margaret Eliza Maltby
Margaret Elizabeth Barr-Bigelow
Margaret Floy Washburn
Margaret Fountaine
Margaret H. Wright
Margaret Hamilton (scientist)
Margaret Kennard
Margaret Lindsay Huggins
Margaret Mead
Margaret Morse Nice
Margaret Oakley Dayhoff
Margaret Ogola
Margaret Stanley (virologist)
Margaret Thatcher
Margrete Heiberg Bose
Marguerite Perey
Maria Ardinghelli
Maria Christina Bruhn
Maria Chudnovsky
Maria Cunitz
Maria Dalle Donne
Maria Fadiman
Maria Gaetana Agnesi
Maria Goeppert-Mayer
Maria Klawe
Maria Klenova
Maria Margarethe Kirch
Maria Medina Coeli
Maria Mitchell
Maria Petraccini
Maria Reiche
Maria Sibylla Merian
Maria Wilman
Maria Zemankova
Maria Zuber
Marian Farquharson
Marian Koshland
Marian Stamp Dawkins
Mariann Bienz
Marianna Csörnyei
Marie-Andrée Bertrand
Marie-Anne Pierrette Paulze
Marie-Jeanne de Lalande
