Wave function
Wave function collapse
Wave height
Wave impedance
Wave loading
Wave motor
Wave packet
Wave period
Wave plate
Wave pool
Wave pounding
Wave power
Wave propagation
Wave shoaling
Wave surface
Wave tank
Wave turbulence
Wave vector
Wave velocity
Wave–current interaction
Wave-cut platform
Wave-making resistance
Waveform
Waveform monitor
Wave-formed ripple
Wavefront
Wavefunction
Wavefunction collapse
Waveguide
Waveguide (acoustics)
Waveguide (electromagnetism)
Waveguide (optics)
Waveguide flange
Wavelength
Wavelength selective switching
Wavelength-division multiplexing
Wavelet
Wavelet transform
Wavenumber
Zonal wavenumber
Wavenumber-frequency diagram
Wave–particle duality
Waverider
Waves and shallow water
Waves in plasmas
Whitham's method
Wien approximation
Wien's displacement law
Wien's law
Wind wave
Windsurfing
Zonal wavenumber
X-band radar
X-ray
X-wave
Zero-dispersion slope
Zero-dispersion wavelength
Zigzag
Zodiacal light
Zone plate
