Jet (particle physics)
Jet quenching
Joint European Torus
Kennelly–Heaviside layer
E region
Kinetics (physics)
Kink instability
Kirchhoff's circuit laws
Kite applications
Kosterlitz–Thouless transition
KSTAR
Kværner-process
Lagrange point colonization
Landau damping
Langmuir probe
Large Hadron Collider
Large Helical Device
Large Plasma Device
Laser-hybrid welding
Laser-induced breakdown spectroscopy
Laser Induced Plasma Spectroscopy
Laser-induced fluorescence
Laser ablation
Laser ablation synthesis in solution
Laser plasma acceleration
Lawson criterion
Lerche–Newberger sum rule
Le Sage's theory of gravitation
Levitated dipole
LIDAR
Lightcraft
Lightning
LINUS (Fusion Experiment)
List of hydrodynamic instabilities
List of plasma physicists
LOFAR
Low Frequency Array
Longitudinal wave
Lorentz force
Low-energy electron diffraction
Lower hybrid oscillation
Low-pressure discharge
Luminescent solar concentrator
Lundquist number
Luttinger liquid
Madison Symmetric Torus
MagBeam
Magnetized beamed plasma propulsion
Magnetic bottle
Magnetic braking
Magnetic cloud
Magnetic confinement fusion
Magnetic diffusivity
Magnetic field
Magnetic field oscillating amplified thruster
Magnetic helicity
Magnetic mirror
Magnetic Prandtl number
Magnetic pressure
Magnetic proton recoil neutron spectrometer
Magnetic radiation reaction force
Magnetic reconnection
Magnetic Reynolds number
Magnetic sail
Mini-magnetospheric plasma propulsion
Magnetic tail
Magnetic tension force
Magnetic weapon
Magnetization reversal by circularly polarized light
Magnetized target fusion
Magnetogravity wave
Magnetohydrodynamic drive
MHD generator
Magnetohydrodynamics
Magnetohydrodynamic turbulence
Magneto-optical trap
Magnetopause
Magnetoplasmadynamic thruster
Magnetosheath
Magnetosonic wave
magnetoacoustic wave
Magnetosphere
Magnetosphere chronology
Magnetosphere of Saturn
Magnetosphere particle motion
Magnetospheric Multiscale Mission
Magnetotellurics
MAGPIE
Marx generator
MARAUDER
Marchywka Effect
Marfa lights
Many-body problem
Mars Express
Mass driver
Mass spectrometry
Material point method
Maxwell–Boltzmann distribution
Maxwell's equations
Mechanically Stimulated Gas Emission
Mega Ampere Spherical Tokamak
Metallic bond
Metallizing
Metamaterial antenna
Microplasma
Microstructured optical arrays
Microturbulence
Microwave digestion
Microwave discharge
Microwave plasma-assisted CVD
Microwave plasma
Migma
MIT Plasma Science and Fusion Center
Moreton wave
Multipactor effect
Nanoflares
Nanoparticle
Nanoscale Plasmonic Motor
Nanoshell
National Compact Stellarator Experiment
National Spherical Torus Experiment
Navier–Stokes equations
Negative index metamaterials
Negative resistance
Negative temperature
Neon lighting
Neon sign
Neutral beam injection
Neutron generator
Neutron source
Neutron star spin-up
New Horizons
Nitrogen Phosphorus Detector
